date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,prob_calm,prob_normal,prob_stress,state,reason
2025-01-28,31.95,0.9794911042742107,0.9795177816128081,0.9999339052171538,6.593699926947e-05,1.5778358337698578e-07,2,HMM: calm regime (OVX=31.9)
2025-01-29,33.02,0.9814064044228792,0.9814330817614765,0.9999671809638575,3.268294761285835e-05,1.3609196164294599e-07,2,HMM: calm regime (OVX=33.0)
2025-01-30,31.05,0.9851853284167087,0.9852120057553062,0.999943671391877,5.627613366528862e-05,5.2476695525976106e-08,2,HMM: calm regime (OVX=31.1)
2025-01-31,29.96,0.9851853284167087,0.9852387044583921,0.9999767289134264,2.3225966242094272e-05,4.511993516276533e-08,2,HMM: calm regime (OVX=30.0)
2025-02-03,35.3,0.9859226981593133,0.9859760742009968,0.9999708194774283,2.9155275577706506e-05,2.5250607217031473e-08,2,HMM: calm regime (OVX=35.3)
2025-02-04,33.62,0.9839204657918609,0.9839738418335443,0.9999718006849205,2.8176163207430893e-05,2.3154986956033412e-08,2,HMM: calm regime (OVX=33.6)
2025-02-05,34.25,0.9824905728219984,0.9825439488636818,0.9999783316108047,2.146748794315749e-05,2.009015352466959e-07,2,HMM: calm regime (OVX=34.2)
2025-02-06,36.25,0.976433686756996,0.9764870627986795,0.9997204454883324,0.00027938850696313373,1.6600537819181858e-07,2,HMM: calm regime (OVX=36.2)
2025-02-07,29.66,0.976433686756996,0.9768901286116067,0.9999794429607624,2.0221290915682987e-05,3.3574683030679794e-07,2,HMM: calm regime (OVX=29.7)
2025-02-10,32.09,0.9801605609613949,0.9806170028160055,0.9999432515201034,5.6610433611644334e-05,1.3804757501014344e-07,2,HMM: calm regime (OVX=32.1)
2025-02-11,29.76,0.9846659883840218,0.9854439753085291,0.9999012815223148,9.842164850176678e-05,2.9683235202378966e-07,2,HMM: calm regime (OVX=29.8)
2025-02-12,31.79,0.9875911656129212,0.9883691525374285,0.9999498983416106,4.885068198595837e-05,1.2509768345524908e-06,2,HMM: calm regime (OVX=31.8)
