date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state,prob_calm,prob_normal,prob_stress
2023-06-29,35.42,0.8515622796006476,0.851562279600647,1,0.5301397031309895,0.46980427048069023,5.602638710203117e-05
2023-06-30,33.28,0.8602765365875185,0.860276536587518,0,0.4851400674642499,0.5148267040849208,3.322845138764652e-05
2023-07-03,33.88,0.8714079809028016,0.8714079809028012,1,0.5314137741331127,0.4685715736953512,1.4652172717418363e-05
2023-07-05,33.91,0.891592375614286,0.8915923756142856,0,0.4846529249744458,0.5153069621345079,4.011289363693539e-05
2023-07-06,35.13,0.8982426245671238,0.8982426245671234,1,0.5327308467318501,0.46726586997826075,3.2832864384157336e-06
2023-07-07,34.55,0.9017615110938323,0.901761511093832,0,0.4837971110525921,0.5161990740028595,3.814942281453683e-06
2023-07-10,38.35,0.8820218277623789,0.8820218277623786,1,0.5339342333461232,0.46582167137046754,0.00024409528701397194
2023-07-11,32.43,0.8884838910915265,0.888483891091526,0,0.48400272657753124,0.5159929348110799,4.338614314377212e-06
2023-07-12,32.69,0.8938777506207687,0.8938777506207682,1,0.5316336489408765,0.4683624428848397,3.90817337278637e-06
2023-07-13,30.04,0.9173922072125672,0.9173922072125669,0,0.48600536286558216,0.5139485630011333,4.607413518128548e-05
2023-07-14,30.0,0.9387563830211537,0.9387563830211532,1,0.5295012586190232,0.4703676865050091,0.0001310548749154034
2023-07-17,31.34,0.967556336327595,0.9675563363275946,0,0.4871951321592877,0.5118770952203266,0.0009277726189591362
2023-07-18,30.66,0.9761861723538718,0.9761861723538715,1,0.5279473475597096,0.472011298233635,4.135420982050682e-05
2023-07-19,31.06,0.9839850626963267,0.9839850626963264,0,0.4882478086395668,0.5117257326027419,2.6458760858530446e-05
2023-07-20,30.15,0.9834017236272536,0.9834017236272533,1,0.5273797688699854,0.47258961098369806,3.0620148839537756e-05
2023-07-21,29.65,0.9834017236272536,0.9852882061083669,0,0.4888295693750969,0.511058535445319,0.0001118951831620325
2023-07-24,30.11,0.9896878467405553,0.9915743292216685,1,0.5257565254470077,0.4740577959208558,0.00018567862874637747
2023-07-25,30.63,0.9898418362027849,0.9917283186838979,0,0.4899236464841519,0.509800629756488,0.00027572375966557834
2023-07-26,29.97,0.9953211296726213,0.9973677562882625,1,0.5246521210532128,0.474882298538351,0.0004655804089708792
2023-07-27,29.12,0.9961175463932026,1.0029848998277655,0,0.4900658684446231,0.5098193453893783,0.00011478616728338792
2023-07-28,29.41,0.9961175463932026,1.0043018218125,1,0.5256903442539217,0.474286789643326,2.2866105435861035e-05
2023-07-31,28.48,0.9967022836622939,1.0133812552017631,0,0.4903310590416925,0.5096514594421,1.7481518347970406e-05
2023-08-01,28.35,1.0,1.0259381658452078,1,0.5255640947637884,0.4744040049723626,3.190026445500841e-05
2023-08-02,28.74,1.0,1.0327624091364633,0,0.4900288877738097,0.5099515970271234,1.951520089313963e-05
2023-08-03,28.54,1.0,1.036085647844653,1,0.5261781263590867,0.47379871264679413,2.316099328073305e-05
2023-08-04,28.06,1.0,1.0438698113427978,0,0.48928703779859584,0.5106936468461759,1.931535485323217e-05
2023-08-07,27.73,1.0,1.0483689848441449,1,0.5271140763408223,0.4727993030985259,8.66205630136302e-05
2023-08-08,27.14,1.0,1.0557999178701507,0,0.4873816922723583,0.5126161751891359,2.132538723499097e-06
2023-08-09,28.56,1.0,1.0568428805398153,1,0.5315325204649489,0.46846608395562395,1.395580742764541e-06
2023-08-10,27.27,1.0,1.0645622533122434,0,0.4834584784217798,0.5165406587370163,8.628446915666925e-07
2023-08-11,28.04,1.0,1.0646826370630076,1,0.5356905992852952,0.4643084923702261,9.083427099005864e-07
2023-08-14,27.55,1.0,1.065795200772761,0,0.47955407278775103,0.520444946519626,9.80693888609e-07
2023-08-15,28.3,1.0,1.0586599882397865,1,0.5392281576822257,0.46077072064661145,1.1216685140235968e-06
2023-08-16,28.54,1.0,1.0587766036714499,0,0.47650064491345157,0.5234985035150985,8.515686913757727e-07
2023-08-17,29.3,1.0,1.0467267447972308,1,0.5419993235847187,0.457999075381361,1.6010332129352343e-06
2023-08-18,28.43,1.0,1.0444067822787086,0,0.474361607687197,0.5256375423468843,8.49969296492241e-07
2023-08-21,28.9,1.0,1.0363674802440919,1,0.5437076259076417,0.4562911477050438,1.2263871027316504e-06
2023-08-22,28.56,1.0,1.0348399155407704,0,0.47274346312042254,0.5272554914171265,1.0454612526478837e-06
2023-08-23,28.47,1.0,1.035249230573265,1,0.5448840101314002,0.45511482350989396,1.1663611987796428e-06
2023-08-24,28.88,1.0,1.0376170391563289,0,0.47137277421447593,0.5286260325011006,1.1932869233411435e-06
2023-08-25,28.81,1.0,1.035411009591839,1,0.5464249224177105,0.45357371906780386,1.3585158057067923e-06
2023-08-28,28.66,1.0,1.0367903490154604,0,0.4697952727142499,0.5302034367349046,1.290547469023273e-06
2023-08-29,27.63,1.0,1.0423733488690003,1,0.5480532586713148,0.45194551244899345,1.2288764178274374e-06
2023-08-30,26.63,1.0,1.0538238095874453,0,0.46788817324016546,0.5321106268249667,1.1999357127764718e-06
2023-08-31,26.56,1.0,1.068110004042599,1,0.549878570687856,0.4501199982634532,1.431051079972499e-06
2023-09-01,27.48,1.0,1.0760706825879445,0,0.4659955823827853,0.534003454864384,9.62754162731702e-07
2023-09-05,28.65,1.0,1.0761286062824689,1,0.5522120397665983,0.44778668637549723,1.2738554003389894e-06
2023-09-06,28.33,1.0,1.0718956261001447,0,0.46383440728261993,0.5361642692650328,1.3234506684577875e-06
2023-09-07,27.59,1.0,1.0657499528122867,1,0.5546557112347267,0.4453431713223156,1.1174450653738469e-06
2023-09-08,27.16,1.0,1.0618449357726296,0,0.46118677271157965,0.5388122906129978,9.366741443334527e-07
2023-09-11,24.37,1.0,1.083482002747415,1,0.5574483129596655,0.4425493393706616,2.3476724134781774e-06
2023-09-12,24.23,1.0,1.113248393891126,0,0.45742755868014856,0.542567499467963,4.941854608686211e-06
2023-09-13,25.06,1.0,1.1348338827222348,1,0.5614213101156691,0.4385758310222993,2.8588589815795688e-06
2023-09-14,26.56,1.0,1.1414432971955801,0,0.4532622818440085,0.5467368845348801,8.336190088213654e-07
2023-09-15,27.16,1.0,1.14144329719558,1,0.5662425797617409,0.43375642126150366,9.989734059034094e-07
2023-09-18,27.91,1.0,1.1171578217811784,0,0.4484352863122879,0.5515605755872122,4.138097932082455e-06
2023-09-19,30.32,0.9983095558576253,1.0781965920802907,1,0.5727495858905995,0.4271297466386073,0.0001206674700256439
2023-09-20,30.38,0.9963057232976447,1.0452299009225379,0,0.44272931919747743,0.5572101145518269,6.0566251576131566e-05
2023-09-21,31.35,0.9893855779900018,1.0178422731513568,1,0.5780446528581631,0.4218761606586873,7.918648570490378e-05
2023-09-22,30.61,0.9861906722030234,0.9980849019404967,0,0.4367835351846686,0.5632026830962833,1.3781718798514624e-05
2023-09-25,30.96,0.9812138540765357,0.9812138540765354,1,0.5835081340807586,0.41647290342517096,1.8962493447399182e-05
2023-09-26,31.3,0.9762308609380488,0.9762308609380485,0,0.43084471479427744,0.5691191525882003,3.613261403412719e-05
2023-09-27,32.48,0.9659216893512059,0.9659216893512056,1,0.5886326165913393,0.4101067511047388,0.0012606323006242057
2023-09-28,31.62,0.9646016076777663,0.9646016076777659,0,0.4238814970864937,0.5691877326671767,0.006930770246115086
2023-09-29,32.24,0.956600418654833,0.9566004186548327,1,0.5879314797336467,0.3676429308488388,0.04442558941871582
2023-10-02,32.0,0.951513118323365,0.9515131183233649,0,0.37973189306656213,0.4937063952945114,0.12656171164172686
2023-10-03,33.25,0.9423882750041386,0.9423882750041382,1,0.5094999953027062,0.016295708258379994,0.47420429643583084
2023-10-04,35.35,0.9352055132071415,0.9352055132071412,2,0.015058365871871492,6.061494278137043e-05,0.9848810191819085
2023-10-05,36.59,0.920102098711172,0.9201020987111719,2,2.0124691233034946e-06,8.673000460549786e-09,0.9999979788574326
2023-10-06,35.68,0.9107571967845439,0.9107571967845436,2,1.3539270004371952e-08,1.5627949276073395e-09,0.9999999848951121
2023-10-09,39.85,0.8883013630853961,0.8883013630853958,2,4.184271159189335e-16,5.802274807701354e-17,1.0
2023-10-10,39.54,0.8723991586121052,0.8723991586121048,2,4.155312143578202e-15,6.171074190292095e-16,1.0
2023-10-11,38.94,0.8618105478245355,0.861810547824535,2,1.2714356663739701e-12,1.893474982569235e-13,1.0
2023-10-12,38.52,0.8562253711926285,0.8562253711926282,2,1.0241013143783532e-10,1.458670385442992e-11,0.9999999998835847
2023-10-13,44.24,0.8336567537195201,0.8336567537195197,2,2.1408972961217918e-19,3.4223412522722033e-20,1.0
