date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state
2022-03-14,65.42,0.7339481005577148,0.7339481005577144,2
2022-03-15,63.62,0.7433975668491833,0.743397566849183,2
2022-03-16,59.35,0.7549504791949256,0.7549504791949253,2
2022-03-17,67.78,0.7545961740175327,0.7545961740175323,2
2022-03-18,69.09,0.7537436052695818,0.7537436052695814,2
2022-03-21,70.78,0.7494706703547437,0.7494706703547434,2
2022-03-22,69.56,0.74458690185046,0.7445869018504596,2
2022-03-23,72.59,0.733512810269512,0.7335128102695117,2
2022-03-24,69.14,0.7324372552906391,0.7324372552906386,2
2022-03-25,68.91,0.7325780809805336,0.7325780809805332,2
2022-03-28,67.04,0.735510508946287,0.7355105089462867,2
2022-03-29,62.46,0.7414210766820881,0.7414210766820878,2
2022-03-30,61.04,0.7509017119960606,0.7509017119960603,2
2022-03-31,57.66,0.7610290728621127,0.7610290728621124,2
2022-04-01,54.36,0.7744111968745985,0.7744111968745981,2
2022-04-04,54.31,0.7863541438107914,0.786354143810791,2
2022-04-05,53.8,0.7949430546121589,0.7949430546121585,2
2022-04-06,53.15,0.802959361534916,0.8029593615349156,2
2022-04-07,54.23,0.806535089168783,0.8065350891687826,2
2022-04-08,53.14,0.8078778175155525,0.8078778175155522,2
2022-04-11,54.81,0.8073386811605513,0.807338681160551,2
2022-04-12,55.25,0.8057736830802235,0.8057736830802231,2
2022-04-13,51.2,0.8080091074249396,0.8080091074249391,2
2022-04-14,53.38,0.8089432752531154,0.808943275253115,2
2022-04-18,50.94,0.811474368007594,0.8114743680075935,2
2022-04-19,50.34,0.8165494495457946,0.8165494495457942,2
2022-04-20,52.23,0.8198752816950285,0.8198752816950282,2
2022-04-21,49.86,0.8214799944684102,0.8214799944684099,2
2022-04-22,51.15,0.8240305362706393,0.8240305362706388,2
2022-04-25,52.86,0.8218135631154414,0.8218135631154411,2
2022-04-26,53.57,0.8180881072599588,0.8180881072599584,2
2022-04-27,53.38,0.8167913820595153,0.816791382059515,2
2022-04-28,51.94,0.8143248672821318,0.8143248672821315,2
2022-04-29,53.1,0.8120865121492413,0.8120865121492409,2
2022-05-02,54.15,0.8106578401907711,0.8106578401907708,2
2022-05-03,54.04,0.8101413123878176,0.8101413123878173,2
2022-05-04,53.15,0.8103975867084963,0.8103975867084958,2
2022-05-05,54.72,0.8073040421970689,0.8073040421970685,2
2022-05-06,54.82,0.8054209459944535,0.805420945994453,2
2022-05-09,57.9,0.8015188676615266,0.8015188676615261,2
2022-05-10,56.06,0.7993668339911113,0.799366833991111,2
2022-05-11,53.43,0.7990550474238584,0.799055047423858,2
2022-05-12,52.71,0.8012694809141827,0.8012694809141824,2
2022-05-13,51.22,0.8053085738351695,0.8053085738351692,2
2022-05-16,51.89,0.8117453504045355,0.8117453504045352,2
2022-05-17,50.34,0.8181393677333869,0.8181393677333866,2
2022-05-18,51.89,0.8198824768975064,0.8198824768975059,2
2022-05-19,51.16,0.8216704581471138,0.8216704581471135,2
2022-05-20,50.72,0.8222621327385694,0.8222621327385691,2
2022-05-23,48.63,0.8261966731800529,0.8261966731800525,2
2022-05-24,47.04,0.8303561862101934,0.8303561862101929,2
2022-05-25,46.76,0.836714218576423,0.8367142185764227,2
2022-05-26,46.03,0.8432033799462755,0.843203379946275,2
2022-05-27,47.92,0.8466705777444083,0.846670577744408,2
2022-05-31,49.82,0.8451936573679928,0.8451936573679925,2
2022-06-01,49.14,0.8425024486258005,0.8425024486258001,2
2022-06-02,47.8,0.8411386293785235,0.8411386293785231,2
2022-06-03,46.23,0.8408674003951386,0.8408674003951383,2
2022-06-06,47.9,0.8356987681683841,0.8356987681683836,1
2022-06-07,45.88,0.8160775137314762,0.8160775137314757,0
2022-06-08,44.37,0.8179578944933888,0.8179578944933885,1
2022-06-09,43.87,0.8006904367191219,0.8006904367191214,0
2022-06-10,42.92,0.8012440829455484,0.801244082945548,1
2022-06-13,47.56,0.7805983548885832,0.7805983548885829,0
2022-06-14,46.63,0.7993444880443354,0.799344488044335,1
2022-06-15,47.04,0.7743480661425899,0.7743480661425896,0
2022-06-16,46.27,0.7887593246774667,0.7887593246774663,1
2022-06-17,49.19,0.7566804411009881,0.7566804411009878,0
2022-06-21,46.56,0.7793453758377364,0.779345375837736,1
2022-06-22,48.99,0.7537230707524958,0.7537230707524954,0
2022-06-23,48.58,0.7722203653225105,0.7722203653225101,1
2022-06-24,46.99,0.7503740751211924,0.750374075121192,0
2022-06-27,46.99,0.7758633062016405,0.77586330620164,1
2022-06-28,46.59,0.7553698716628623,0.755369871662862,0
2022-06-29,48.57,0.7781009975836338,0.7781009975836335,1
2022-06-30,48.9,0.7555726547011119,0.7555726547011116,0
2022-07-01,49.4,0.7727853511996537,0.7727853511996534,1
2022-07-05,52.61,0.7709286197560198,0.7709286197560195,2
2022-07-06,54.67,0.7866345075323367,0.7866345075323362,2
2022-07-07,52.87,0.7868259039630332,0.7868259039630329,2
2022-07-08,52.1,0.8104355675851698,0.8104355675851694,2
2022-07-11,53.1,0.8115557371601769,0.8115557371601765,2
2022-07-12,54.4,0.8095731727098062,0.8095731727098059,2
2022-07-13,51.76,0.8128210629724528,0.8128210629724524,2
2022-07-14,53.03,0.8126413349121411,0.8126413349121406,2
2022-07-15,51.77,0.8130219582861301,0.8130219582861298,2
2022-07-18,49.66,0.8170507474291059,0.8170507474291056,2
2022-07-19,48.77,0.8236151819653383,0.8236151819653379,2
2022-07-20,47.54,0.8287961473392302,0.8287961473392299,2
2022-07-21,51.1,0.8310150260057145,0.8310150260057142,2
2022-07-22,47.84,0.8358188043978896,0.8358188043978891,2
2022-07-25,47.96,0.8379534172154418,0.8379534172154415,2
2022-07-26,47.81,0.8391764791512095,0.8391764791512092,2
2022-07-27,48.99,0.8373277123002241,0.8373277123002237,2
2022-07-28,47.17,0.8422213156425513,0.842221315642551,2
2022-07-29,46.19,0.8444019659610447,0.8444019659610443,2
2022-08-01,49.97,0.8418888488820297,0.8418888488820293,2
2022-08-02,52.77,0.8359029760870884,0.8359029760870881,2
2022-08-03,50.12,0.8345132778531512,0.8345132778531509,2
2022-08-04,55.14,0.8250978524333619,0.8250978524333614,2
2022-08-05,48.76,0.8217454377239234,0.8217454377239231,2
2022-08-08,46.4,0.8263103781408198,0.8263103781408194,2
2022-08-09,46.23,0.8343840566273691,0.8343840566273688,2
2022-08-10,46.56,0.8389162407041724,0.838916240704172,2
2022-08-11,45.37,0.8507631316003519,0.8507631316003514,2
2022-08-12,44.0,0.8571799840091157,0.8571799840091152,2
2022-08-15,46.63,0.8568715920943489,0.8568715920943486,2
2022-08-16,50.25,0.8517382365252193,0.8517382365252189,2
2022-08-17,51.55,0.8455075617326878,0.8455075617326875,2
2022-08-18,47.41,0.8427614790703943,0.842761479070394,2
2022-08-19,50.34,0.8344011108286671,0.8344011108286666,2
2022-08-22,50.64,0.8293373563223254,0.829337356322325,2
2022-08-23,47.35,0.8329809123429242,0.8329809123429237,2
2022-08-24,48.33,0.8369012100306042,0.8369012100306039,2
2022-08-25,48.78,0.8351460251457151,0.8351460251457148,2
2022-08-26,47.08,0.8392527517275676,0.8392527517275672,2
2022-08-29,47.73,0.8428698148628815,0.8428698148628812,2
2022-08-30,49.74,0.8398459039974334,0.8398459039974331,2
2022-08-31,52.11,0.8352779050050863,0.8352779050050859,2
2022-09-01,53.9,0.8292707582830126,0.8292707582830122,2
2022-09-02,53.9,0.8210752636840889,0.8210752636840886,2
2022-09-06,50.0,0.8182289473845851,0.8182289473845847,2
2022-09-07,53.32,0.8140526670608633,0.814052667060863,2
2022-09-08,51.29,0.8150043636613271,0.8150043636613267,2
2022-09-09,48.84,0.8209361834023943,0.8209361834023939,2
2022-09-12,44.15,0.8331688310913806,0.8331688310913803,2
2022-09-13,44.81,0.8399608376099514,0.8399608376099511,2
2022-09-14,45.62,0.8494831433501293,0.849483143350129,2
2022-09-15,46.63,0.8553161848035604,0.85531618480356,2
2022-09-16,47.44,0.8571075225160392,0.8571075225160388,2
2022-09-19,46.75,0.853507700347125,0.8535077003471245,2
2022-09-20,48.23,0.848919394064434,0.8489193940644336,2
2022-09-21,48.65,0.8449272881871559,0.8449272881871556,2
2022-09-22,47.1,0.8443035106030241,0.8443035106030237,2
2022-09-23,50.82,0.8400951222535301,0.8400951222535298,2
2022-09-26,56.68,0.8285176677360686,0.8285176677360683,2
2022-09-27,55.89,0.8196858273733507,0.8196858273733504,2
2022-09-28,55.02,0.8123042858459757,0.8123042858459752,2
2022-09-29,54.41,0.803579615894563,0.8035796158945626,2
2022-09-30,55.69,0.7981457843144636,0.7981457843144633,2
2022-10-03,56.24,0.7985985460976571,0.7985985460976568,2
2022-10-04,59.51,0.7949805946786099,0.7949805946786096,2
2022-10-05,54.2,0.795863689342004,0.7958636893420037,2
2022-10-06,53.39,0.7969820086936936,0.7969820086936933,2
2022-10-07,53.64,0.799187062044198,0.7991870620441976,2
2022-10-10,51.42,0.8044865295905785,0.8044865295905781,2
2022-10-11,51.92,0.8124595764080947,0.8124595764080944,2
2022-10-12,51.52,0.8154780675456875,0.8154780675456872,2
2022-10-13,50.52,0.8187879393195745,0.8187879393195742,2
2022-10-14,50.3,0.822638887093953,0.8226388870939527,2
2022-10-17,50.27,0.8240043877414859,0.8240043877414855,2
2022-10-18,49.12,0.8273594963440356,0.8273594963440353,2
2022-10-19,47.78,0.8319501976871804,0.83195019768718,2
2022-10-20,47.98,0.8351013110861075,0.8351013110861072,2
2022-10-21,47.19,0.8390150196759258,0.8390150196759254,2
2022-10-24,47.78,0.8421234545912106,0.8421234545912103,2
2022-10-25,47.3,0.8444477568759675,0.8444477568759672,2
2022-10-26,48.58,0.8434253746745132,0.8434253746745128,2
2022-10-27,49.02,0.8421082109997204,0.8421082109997201,2
2022-10-28,47.81,0.841300339222505,0.8413003392225047,2
2022-10-31,47.41,0.8366799827846361,0.8366799827846357,1
2022-11-01,47.04,0.8112147535317547,0.8112147535317543,0
2022-11-02,47.75,0.8071098911363682,0.8071098911363679,1
2022-11-03,46.47,0.7851354666524457,0.7851354666524454,0
2022-11-04,47.5,0.7804191885153197,0.7804191885153193,1
2022-11-07,45.11,0.7646846394341632,0.7646846394341629,0
2022-11-08,45.04,0.7885888411486193,0.7885888411486189,1
2022-11-09,45.38,0.7727137964384048,0.7727137964384044,0
2022-11-10,43.48,0.7979070416522761,0.7979070416522758,1
2022-11-11,42.06,0.7901171367924194,0.7901171367924189,0
2022-11-14,44.42,0.8105456363019901,0.8105456363019897,1
2022-11-15,46.72,0.7873629240506104,0.7873629240506099,0
2022-11-16,45.12,0.8073000520255673,0.807300052025567,1
2022-11-17,45.34,0.7847493696764998,0.7847493696764994,0
2022-11-18,45.93,0.7949426403239721,0.7949426403239717,1
2022-11-21,47.11,0.7698718484668946,0.7698718484668943,0
2022-11-22,46.3,0.791062291309123,0.7910622913091225,1
2022-11-23,51.56,0.7579317787319862,0.7579317787319859,0
2022-11-25,50.16,0.7702609399469402,0.7702609399469399,1
2022-11-28,50.53,0.7404208738112722,0.7404208738112719,0
2022-11-29,47.91,0.7600540775774244,0.760054077577424,1
2022-11-30,46.15,0.7401702342528352,0.7401702342528349,0
2022-12-01,45.61,0.7725185728832088,0.7725185728832085,1
2022-12-02,45.76,0.7591940181549572,0.7591940181549569,0
2022-12-05,45.41,0.7898562152713281,0.7898562152713278,1
2022-12-06,46.36,0.771923176126528,0.7719231761265277,0
2022-12-07,47.91,0.7893715977752481,0.7893715977752478,1
2022-12-08,47.17,0.7660877475949639,0.7660877475949636,0
2022-12-09,46.93,0.784094129856388,0.7840941298563877,1
2022-12-12,44.99,0.765558652493932,0.7655586524939316,0
2022-12-13,43.37,0.7906865024861661,0.7906865024861658,1
2022-12-14,41.82,0.7841618504445739,0.7841618504445735,0
2022-12-15,43.7,0.8105650680715998,0.8105650680715994,1
2022-12-16,42.29,0.801293048203086,0.8012930482030857,0
2022-12-19,42.47,0.8247443192160411,0.8247443192160407,1
2022-12-20,41.79,0.811107352636852,0.8111073526368516,0
2022-12-21,41.18,0.8286959982273299,0.8286959982273295,1
2022-12-22,41.8,0.8155903060561286,0.8155903060561283,0
2022-12-23,41.21,0.8344031552379283,0.834403155237928,1
2022-12-27,43.5,0.8146663853119123,0.8146663853119118,0
2022-12-28,43.95,0.8273252557983739,0.8273252557983735,1
2022-12-29,42.6,0.8076271057094846,0.8076271057094843,0
2022-12-30,41.26,0.8250142694294522,0.8250142694294519,1
2023-01-03,44.14,0.8013966265014553,0.8013966265014549,0
2023-01-04,45.83,0.8155525350232624,0.8155525350232621,1
2023-01-05,43.93,0.7972549261760766,0.7972549261760763,0
2023-01-06,42.94,0.8138212168207429,0.8138212168207426,1
2023-01-09,42.75,0.7938715445882506,0.7938715445882503,0
2023-01-10,41.6,0.8167795805225898,0.8167795805225895,1
2023-01-11,41.19,0.8088398052260979,0.8088398052260976,0
2023-01-12,39.28,0.8355884835982021,0.8355884835982017,1
2023-01-13,38.19,0.8319224658785526,0.8319224658785522,0
2023-01-17,40.1,0.8540371056185719,0.8540371056185716,1
2023-01-18,39.25,0.8446742908466586,0.8446742908466582,0
2023-01-19,39.02,0.8646250650427522,0.8646250650427518,1
2023-01-20,37.81,0.8554563101714969,0.8554563101714965,0
2023-01-23,37.3,0.8698894146352314,0.8698894146352311,1
2023-01-24,38.26,0.8608482662952797,0.8608482662952793,0
2023-01-25,38.54,0.8760513797441345,0.876051379744134,1
2023-01-26,38.12,0.8653626273288111,0.8653626273288108,0
2023-01-27,38.6,0.8758824506227884,0.875882450622788,1
2023-01-30,40.18,0.8553244091991686,0.8553244091991683,0
2023-01-31,38.55,0.867402633593611,0.8674026335936107,1
2023-02-01,37.99,0.8561752858229138,0.8561752858229135,0
2023-02-02,38.49,0.8679242699100456,0.8679242699100452,1
2023-02-03,39.48,0.8521400513573193,0.852140051357319,0
2023-02-06,38.92,0.8693777141469896,0.8693777141469893,1
2023-02-07,37.31,0.8604125582628075,0.8604125582628072,0
2023-02-08,37.02,0.8747943081276768,0.8747943081276764,1
2023-02-09,35.75,0.8711295322616831,0.8711295322616828,0
2023-02-10,35.89,0.8926569165014229,0.8926569165014225,1
2023-02-13,37.77,0.8829081338884105,0.8829081338884102,0
2023-02-14,36.67,0.8958005866495753,0.895800586649575,1
2023-02-15,35.7,0.8892628636261153,0.8892628636261148,0
2023-02-16,35.03,0.9004031571532808,0.9004031571532805,1
2023-02-17,36.04,0.8901784048874782,0.8901784048874779,0
2023-02-21,37.05,0.9037784035133123,0.903778403513312,1
2023-02-22,38.36,0.8874529738951418,0.8874529738951414,0
2023-02-23,36.69,0.8947001411090252,0.8947001411090248,1
2023-02-24,37.25,0.8783396224143912,0.8783396224143909,0
2023-02-27,37.55,0.8849758141756195,0.8849758141756192,1
2023-02-28,35.42,0.8795213246126579,0.8795213246126575,0
2023-03-01,36.63,0.895933436617578,0.8959334366175776,1
2023-03-02,35.61,0.8890123507194042,0.8890123507194039,0
2023-03-03,35.2,0.9049811728365906,0.9049811728365903,1
2023-03-06,33.03,0.9098881042173248,0.9098881042173245,0
2023-03-07,33.76,0.9228436391341658,0.9228436391341654,1
2023-03-08,33.39,0.9243152639441691,0.9243152639441687,0
2023-03-09,34.86,0.9353433649965327,0.9353433649965324,1
2023-03-10,36.76,0.9210391894476484,0.921039189447648,0
2023-03-13,38.13,0.9149315802552221,0.9149315802552218,1
2023-03-14,47.41,0.894045266486063,0.8940452664860625,2
2023-03-15,49.78,0.8752905372051929,0.8752905372051926,2
2023-03-16,48.65,0.8554332226752474,0.855433222675247,2
2023-03-17,51.48,0.8472329239079673,0.847232923907967,2
2023-03-20,51.14,0.8314788037768824,0.8314788037768821,2
2023-03-21,48.12,0.8305606590283737,0.8305606590283734,2
2023-03-22,46.97,0.8341335061108539,0.8341335061108536,2
2023-03-23,46.9,0.8363962334561071,0.8363962334561068,2
2023-03-24,48.36,0.840196733381671,0.8401967333816707,2
2023-03-27,45.41,0.8475134884492427,0.8475134884492423,2
2023-03-28,44.31,0.8526721329437,0.8526721329436997,2
2023-03-29,43.33,0.857759901577294,0.8577599015772936,2
2023-03-30,42.02,0.8647311148684793,0.8647311148684789,2
2023-03-31,40.34,0.8762589339209427,0.8762589339209423,2
2023-04-03,39.49,0.8852765868992012,0.8852765868992009,2
2023-04-04,39.42,0.8928618931542573,0.8928618931542569,2
2023-04-05,39.14,0.899494435104655,0.8994944351046547,2
2023-04-06,34.76,0.9122094042969173,0.912209404296917,2
2023-04-10,34.31,0.923169614499575,0.9231696144995747,2
2023-04-11,34.23,0.9328878643636411,0.9328878643636408,2
2023-04-12,33.74,0.9434973714896078,0.9434973714896074,2
2023-04-13,32.78,0.9556695575611268,0.9556695575611265,2
2023-04-14,32.51,0.9603704131445635,0.9603704131445632,2
2023-04-17,32.93,0.9632542773999131,0.9632542773999127,2
2023-04-18,33.69,0.964367124711997,0.9643671247119967,2
2023-04-19,34.44,0.9629320225296725,0.9629320225296721,2
2023-04-20,36.41,0.9556275847268727,0.9556275847268724,2
2023-04-21,35.17,0.9501148054086489,0.9501148054086486,2
2023-04-24,34.28,0.9472919403590065,0.9472919403590062,2
2023-04-25,36.64,0.9414900003327119,0.9414900003327116,2
2023-04-26,39.25,0.932602210963925,0.9326022109639247,2
2023-04-27,37.76,0.9273265674539454,0.927326567453945,1
2023-04-28,35.63,0.9149462089675733,0.914946208967573,0
2023-05-01,35.94,0.9094271922809793,0.909427192280979,1
2023-05-02,39.48,0.8870796012929049,0.8870796012929045,0
2023-05-03,43.23,0.8765561051948065,0.8765561051948062,1
2023-05-04,43.75,0.8697150852290612,0.8697150852290608,2
2023-05-05,37.35,0.8779857096712517,0.8779857096712513,2
2023-05-08,35.54,0.8810037814600229,0.8810037814600225,2
2023-05-09,35.13,0.9062380235027383,0.906238023502738,2
2023-05-10,34.13,0.9262798921558428,0.9262798921558424,2
2023-05-11,35.74,0.9396679361989559,0.9396679361989555,2
2023-05-12,37.32,0.9370444098345494,0.9370444098345491,1
2023-05-15,35.16,0.9271104044879168,0.9271104044879165,0
2023-05-16,35.98,0.9232029260302536,0.9232029260302532,1
2023-05-17,36.44,0.9058556299649831,0.9058556299649828,0
2023-05-18,36.02,0.9030453909795846,0.9030453909795841,1
2023-05-19,35.85,0.8966044828532251,0.8966044828532247,0
2023-05-22,35.52,0.9044643717259259,0.9044643717259255,1
2023-05-23,35.11,0.8978233419310498,0.8978233419310495,0
2023-05-24,35.86,0.9095241062800756,0.9095241062800753,1
2023-05-25,36.74,0.8971406647693305,0.8971406647693302,0
2023-05-26,35.95,0.9065527900327037,0.9065527900327034,1
2023-05-30,39.68,0.8835883364672995,0.8835883364672992,0
2023-05-31,40.68,0.8806568909828203,0.8806568909828199,1
2023-06-01,40.5,0.8560329270738413,0.8560329270738409,0
2023-06-02,39.6,0.8609874332708447,0.8609874332708444,1
2023-06-05,37.45,0.8460462678413077,0.8460462678413073,0
2023-06-06,36.07,0.8677777874680366,0.8677777874680362,1
2023-06-07,34.13,0.8744464612423247,0.8744464612423244,0
2023-06-08,35.18,0.9006117502359835,0.9006117502359832,1
2023-06-09,33.7,0.9069249325161091,0.9069249325161086,0
2023-06-12,36.35,0.9209820255491143,0.920982025549114,1
2023-06-13,32.38,0.9254363878626286,0.9254363878626283,0
2023-06-14,33.66,0.9337541899670153,0.933754189967015,1
2023-06-15,33.07,0.9332989120129633,0.933298912012963,0
2023-06-16,32.99,0.9415816366530804,0.94158163665308,1
2023-06-20,34.75,0.9371095124805958,0.9371095124805955,0
2023-06-21,33.26,0.9392567317918505,0.9392567317918502,1
2023-06-22,34.93,0.9278744969912932,0.9278744969912929,0
2023-06-23,35.36,0.92791764673823,0.9279176467382296,1
2023-06-26,36.67,0.9086084107098047,0.9086084107098044,0
2023-06-27,39.3,0.9069649709923,0.9069649709922997,1
2023-06-28,36.86,0.8876793175870686,0.8876793175870683,0
2023-06-29,35.42,0.8949076946085277,0.8949076946085274,1
2023-06-30,33.28,0.8940024250724745,0.8940024250724742,0
2023-07-03,33.88,0.9111115409866681,0.9111115409866677,1
2023-07-05,33.91,0.9160052315347086,0.9160052315347083,0
2023-07-06,35.13,0.9308132023798701,0.9308132023798696,1
2023-07-07,34.55,0.9250250967077406,0.9250250967077402,0
2023-07-10,38.35,0.9194962924399224,0.919496292439922,1
2023-07-11,32.43,0.9186590429208346,0.9186590429208342,0
2023-07-12,32.69,0.9285371082252352,0.9285371082252348,1
2023-07-13,30.04,0.9415581050926447,0.9415581050926443,0
2023-07-14,30.0,0.961226324713134,0.9612263247131336,1
2023-07-17,31.34,0.9750984917823597,0.9750984917823594,0
2023-07-18,30.66,0.9843220220035104,0.98432202200351,1
2023-07-19,31.06,0.9865965734399301,0.9865965734399298,0
2023-07-20,30.15,0.9863602978880959,0.9863602978880955,1
2023-07-21,29.65,0.9863602978880959,0.9880883071293727,0
