date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state,prob_calm,prob_stress
2024-01-29,36.32,0.8835428207094334,0.8835428207094331,1,0.9999655925629262,3.440743726638139e-05
2024-01-30,36.19,0.8788361745235351,0.8788361745235349,1,0.9999655066641109,3.4493335512734765e-05
2024-01-31,37.25,0.8660497166287533,0.8660497166287531,1,0.9999659573760497,3.404262343109888e-05
2024-02-01,35.38,0.8649320400352914,0.8649320400352913,1,0.9999681493006582,3.1850698603573883e-05
2024-02-02,34.85,0.8646464547176134,0.8646464547176131,1,0.9999702740131331,2.9725986139407425e-05
2024-02-05,34.43,0.8721434219172888,0.8721434219172887,1,0.9999721701386028,2.7829861205232603e-05
2024-02-06,33.01,0.8852859317699193,0.8852859317699193,1,0.9999744840205794,2.551597957136907e-05
2024-02-07,31.21,0.9108583666022907,0.9108583666022906,1,0.999976521944555,2.3478054982610574e-05
2024-02-08,31.64,0.9272458556350115,0.9272458556350113,1,0.9999771709049303,2.2829095068760587e-05
2024-02-09,32.44,0.9377134121122062,0.9377134121122059,1,0.999976283291501,2.3716708307816697e-05
2024-02-12,32.69,0.9453014932624729,0.9453014932624729,1,0.9999710498475592,2.8950153052169238e-05
2024-02-13,32.37,0.9482262184280723,0.9482262184280721,1,0.999966285636127,3.371436332084945e-05
2024-02-14,32.76,0.94085635423379,0.9408563542337898,1,0.9999639355728989,3.606442646272887e-05
2024-02-15,32.02,0.9390345251437543,0.9390345251437541,1,0.9999630404463365,3.6959552890970816e-05
2024-02-16,30.84,0.9467924328816965,0.9467924328816963,1,0.999961369967796,3.8630032131941694e-05
2024-02-20,31.81,0.9509135416487566,0.9509135416487566,1,0.9999613481171207,3.8651883427685e-05
2024-02-21,31.05,0.9572873023297692,0.957287302329769,1,0.9999622919710555,3.770802876854709e-05
2024-02-22,30.55,0.9679989896571447,0.9679989896571446,1,0.9999645096599753,3.5490339872098666e-05
2024-02-23,31.31,0.9714351870505368,0.9714351870505368,1,0.9999654787235789,3.4521275917119377e-05
2024-02-26,31.71,0.9671294089244409,0.9671294089244407,1,0.9999666535471391,3.334645299985402e-05
2024-02-27,31.35,0.969366338662029,0.969366338662029,1,0.9999635697910269,3.643020907673219e-05
2024-02-28,31.21,0.9685679452197811,0.9685679452197811,1,0.9999590849896206,4.0915009544268544e-05
2024-02-29,31.5,0.9637976540178558,0.9637976540178557,1,0.9999523596032027,4.76403961941001e-05
2024-03-01,31.08,0.9649410503595355,0.9649410503595354,1,0.9999506258557105,4.937414467242761e-05
2024-03-04,30.47,0.9711449745124654,0.9711449745124654,1,0.9999506741875116,4.932581226403793e-05
2024-03-05,30.19,0.9770575285483802,0.9770575285483801,1,0.9999527027865561,4.729721258172679e-05
2024-03-06,29.57,0.9832850990179323,0.9856084175836817,1,0.9999587177889508,4.128221179064167e-05
2024-03-07,29.57,0.990941137556316,0.9955877746878151,1,0.9999681589246248,3.1841075544339714e-05
2024-03-08,29.64,0.9965205768316471,1.0031081848847767,1,0.9999741609690808,2.5839030412640662e-05
2024-03-11,29.11,0.9989924087282722,1.0104570304273086,1,0.9999764385349387,2.3561465141405858e-05
2024-03-12,29.36,1.0,1.014944822925828,1,0.9999779142873768,2.208571253328418e-05
2024-03-13,29.52,1.0,1.015218927360661,1,0.9999798038027083,2.0196197575099267e-05
2024-03-14,31.51,0.99229512615436,1.0051907349492712,1,0.9999825280882075,1.747191164120139e-05
2024-03-15,29.77,0.99229512615436,1.0044849557033129,1,0.9999842374660078,1.576253435942026e-05
2024-03-18,29.81,0.99229512615436,1.0006270857399984,1,0.9999863145085021,1.3685492382567543e-05
2024-03-19,29.22,0.99229512615436,1.0014066505681871,1,0.9999870728678351,1.2927131618586569e-05
2024-03-20,28.82,0.99229512615436,1.0053338411539272,1,0.9999878758379165,1.2124162674442245e-05
2024-03-21,27.53,1.0,1.0272695745616809,1,0.9999882625213464,1.1737478464964024e-05
2024-03-22,26.92,1.0,1.0441400524362552,1,0.9999878265584543,1.2173442296298382e-05
2024-03-25,27.49,1.0,1.0576011095517204,1,0.9999872942123618,1.2705786741937715e-05
2024-03-26,27.25,1.0,1.0693314179429327,1,0.9999868225017635,1.3177498100954874e-05
2024-03-27,26.6,1.0,1.0830090228737705,1,0.9999859718956815,1.402810468422447e-05
2024-03-28,26.27,1.0,1.0911905349989977,1,0.999984642443145,1.535755612485674e-05
2024-04-01,27.65,1.0,1.0865715982951325,1,0.9999850145026878,1.4985497967534645e-05
2024-04-02,29.04,1.0,1.0773633956426263,1,0.9999870197613084,1.2980237784338394e-05
2024-04-03,29.08,1.0,1.066419404349764,1,0.9999888804377177,1.1119563178364984e-05
2024-04-04,32.17,0.9891324945610831,1.0353496803936864,1,0.9999913697328765,8.630266603270634e-06
2024-04-05,32.36,0.9773760812649497,1.0011808954102126,1,0.9999926292110718,7.370789775276137e-06
2024-04-08,30.57,0.974387159756706,0.9847052410555872,1,0.9999930723428263,6.927656461227417e-06
2024-04-09,28.96,0.974387159756706,0.985158755653899,1,0.999993325166082,6.674834799448541e-06
2024-04-10,30.08,0.9739615145478571,0.9796870272917199,1,0.9999934542589065,6.545741375934746e-06
2024-04-11,31.27,0.9783039483130912,0.9840294610569538,1,0.9999933846775628,6.6153217632629845e-06
2024-04-12,32.19,0.9790988422536915,0.9848243549975543,1,0.9999930622602379,6.937738883719163e-06
2024-04-15,35.59,0.9565352071509012,0.9622607198947639,1,0.9999916969826703,8.303018115172626e-06
2024-04-16,33.61,0.9391568265043988,0.9391568265043986,1,0.9999900850907982,9.91490992546447e-06
2024-04-17,33.0,0.9248997219844215,0.9248997219844213,1,0.9999880507170907,1.1949283089496147e-05
2024-04-18,31.4,0.9242586475612995,0.9242586475612995,1,0.9999864018406299,1.3598158990871622e-05
2024-04-19,31.86,0.9258234523310975,0.9258234523310973,1,0.9999831650928266,1.6834907310355026e-05
2024-04-22,29.7,0.9513760089421315,0.9529905446313084,1,0.9999815704238485,1.8429576581134426e-05
2024-04-23,28.86,0.9687543895886339,0.9766645123872848,1,0.9999818983416304,1.810165857095587e-05
2024-04-24,29.04,0.9834371393174599,0.9966192602616619,1,0.9999819091116718,1.8090888118972334e-05
