Date,Regime,prob_bull,gate_continuous,gate_smoothed,oil_return,slope
2015-04-10,0,1.2821893581021879e-06,1.2821893581021879e-06,1.1386220276273043e-06,0.01640341407840418,0.14720123958938588
2015-04-13,0,2.0295456664659715e-06,2.0295456664659715e-06,1.1465719221722035e-06,0.006178818653678714,0.16881616939364766
2015-04-14,0,1.231235121157918e-06,1.231235121157918e-06,1.0352871881192677e-06,0.025654613626562257,0.13508442776735466
2015-04-15,0,4.0489528203874526e-08,4.0489528203874526e-08,8.08255455138515e-07,0.05386970991273077,0.06471111111111112
2015-04-16,0,5.929762666662787e-07,5.929762666662787e-07,9.35536367391548e-07,0.007791787251682768,0.05362497795025577
2015-04-17,0,1.4703069319842357e-07,1.4703069319842357e-07,1.1633571161877582e-06,-0.017438164303488102,0.06695386824627529
2015-04-20,0,2.6659502277311363e-06,2.6659502277311363e-06,2.766516820792067e-06,0.011777438060759399,0.01649813730707823
2015-04-21,0,2.37033886513897e-06,2.37033886513897e-06,3.2457306579356124e-05,-0.014113677779125965,0.060813242173443735
2015-04-22,0,8.056288051225419e-06,8.056288051225419e-06,0.0004887894864247205,0.010559382229983816,0.07139042193341638
2015-04-23,0,0.00014904692505948657,0.00014904692505948657,0.0035512381572489664,0.007449484610091148,0.040466513518289435
2015-04-24,0,0.00228180792992002,0.00228180792992002,0.010638817208479178,-0.010837807067125099,0.023401214719542734
2015-04-27,0,0.015314909304348959,0.015314909304348959,0.02802730851419203,-0.007530966201164329,0.03509719222462195
2015-04-28,0,0.0354402655950162,0.0354402655950162,0.09098690717435562,0.026464558421941575,0.011218229623137609
2015-04-29,0,0.08695051281661546,0.08695051281661546,0.19935711491953817,0.02595301373564165,0.029035012809564525
2015-04-30,0,0.31494704022587744,0.31494704022587744,0.3806402339924929,0.018109998206199077,0.010399194901039997
2015-05-01,0,0.5441328466558326,0.5441328466558326,0.5705740350155974,-0.008760163837872823,0.03722504230118436
2015-05-04,1,0.921730504669123,0.921730504669123,0.7528669233451252,-0.00305033281762298,0.012729124236252545
2015-05-05,1,0.9851092707105384,0.9851092707105384,0.8897634206907019,0.0244773326842633,-0.03941702550513419
2015-05-06,1,0.9984149544642543,0.9984149544642543,0.9809297240341264,0.009067739981710295,-0.029870343016576404
2015-05-07,1,0.9994295269537611,0.9994295269537611,0.9965813677276845,-0.03235772624541901,-0.014239701644346557
2015-05-08,1,0.9999643633729552,0.9999643633729552,0.9995571486222967,0.00709462435266617,0.012455815519272884
2015-05-11,1,0.9999887231369136,0.9999887231369136,0.9998734349851437,-0.0030343920787762207,0.03596150599358438
2015-05-12,1,0.9999881751835992,0.9999881751835992,0.9999867480198276,0.02484496279850082,0.00032938076416342437
2015-05-13,1,0.9999963862784892,0.9999963862784892,0.9999932280174321,-0.0036297680505787237,-0.00892561983471073
2015-05-14,1,0.999996092127181,0.999996092127181,0.9999947693826856,-0.010133818760424728,-0.006011020203706786
2015-05-15,1,0.9999967633609769,0.9999967633609769,0.999992066499059,-0.002675139532156475,0.004687761593838961
2015-05-18,1,0.9999964299631817,0.9999964299631817,0.9999906352586405,-0.004867006334710836,0.00757065948855994
2015-05-19,1,0.9999746607654665,0.9999746607654665,0.9999900512264788,-0.036666776688809806,0.05427574171029668
2015-05-20,1,0.9999892300763962,0.9999892300763962,0.9999885228103192,0.028558624160387316,0.01119402985074621
2015-05-21,1,0.9999931719663717,0.9999931719663717,0.9999855892591427,0.020480823320818044,-0.002824858757062175
2015-05-22,1,0.9999891212801796,0.9999891212801796,0.9999894884306,-0.021838596781278276,0.036854619565217295
2015-05-26,1,0.9999817622072991,0.9999817622072991,0.9999888246561476,-0.02737538600013438,0.04747774480712164
2015-05-27,1,0.999994156622753,0.999994156622753,0.9999329346959087,0.003832757305176436,0.03616762302208321
2015-05-28,1,0.9999859112041344,0.9999859112041344,0.9998377219343075,0.0031250025431352807,0.02981452591436989
2015-05-29,1,0.9997137221651772,0.9997137221651772,0.9984101314601412,0.04341872410196637,-0.03170124481327795
2015-06-01,1,0.9995130574721738,0.9995130574721738,0.9846217680584333,-0.0001659888791261938,-0.012616201859229832
2015-06-02,1,0.9928438098364678,0.9928438098364678,0.932950708927024,0.017443259450527562,-0.07112561174551386
2015-06-03,1,0.9310523396142134,0.9310523396142134,0.8668582631017422,-0.026950461408175173,-0.04591922238981066
